"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	"Female"	"F"	77	2293259	3.4
	"Alabama"	"01"	"1999"	"1999"	"Male"	"M"	216	2136882	10.1
	"Alabama"	"01"	"2000"	"2000"	"Female"	"F"	54	2300596	2.3
	"Alabama"	"01"	"2000"	"2000"	"Male"	"M"	240	2146504	11.2
	"Alabama"	"01"	"2001"	"2001"	"Female"	"F"	60	2309496	2.6
	"Alabama"	"01"	"2001"	"2001"	"Male"	"M"	242	2158138	11.2
	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	51	2314370	2.2
	"Alabama"	"01"	"2002"	"2002"	"Male"	"M"	241	2165719	11.1
	"Alabama"	"01"	"2003"	"2003"	"Female"	"F"	60	2324069	2.6
	"Alabama"	"01"	"2003"	"2003"	"Male"	"M"	262	2179422	12.0
	"Alabama"	"01"	"2004"	"2004"	"Female"	"F"	50	2337857	2.1
	"Alabama"	"01"	"2004"	"2004"	"Male"	"M"	212	2192872	9.7
	"Alabama"	"01"	"2005"	"2005"	"Female"	"F"	51	2356423	2.2
	"Alabama"	"01"	"2005"	"2005"	"Male"	"M"	268	2213382	12.1
	"Alabama"	"01"	"2006"	"2006"	"Female"	"F"	58	2385480	2.4
	"Alabama"	"01"	"2006"	"2006"	"Male"	"M"	275	2243501	12.3
	"Alabama"	"01"	"2007"	"2007"	"Female"	"F"	66	2407275	2.7
	"Alabama"	"01"	"2007"	"2007"	"Male"	"M"	312	2265565	13.8
	"Alabama"	"01"	"2008"	"2008"	"Female"	"F"	63	2430257	2.6
	"Alabama"	"01"	"2008"	"2008"	"Male"	"M"	286	2287949	12.5
	"Alabama"	"01"	"2009"	"2009"	"Female"	"F"	69	2448159	2.8
	"Alabama"	"01"	"2009"	"2009"	"Male"	"M"	248	2309779	10.7
	"Alabama"	"01"	"2010"	"2010"	"Female"	"F"	41	2459548	1.7
	"Alabama"	"01"	"2010"	"2010"	"Male"	"M"	242	2320188	10.4
	"Alabama"	"01"	"2011"	"2011"	"Female"	"F"	52	2473249	2.1
	"Alabama"	"01"	"2011"	"2011"	"Male"	"M"	240	2329491	10.3
	"Alabama"	"01"	"2012"	"2012"	"Female"	"F"	43	2483466	1.7
	"Alabama"	"01"	"2012"	"2012"	"Male"	"M"	263	2338557	11.2
	"Alabama"	"01"	"2013"	"2013"	"Female"	"F"	49	2488375	2.0
	"Alabama"	"01"	"2013"	"2013"	"Male"	"M"	268	2345347	11.4
	"Alabama"	"01"	"2014"	"2014"	"Female"	"F"	45	2499410	1.8
	"Alabama"	"01"	"2014"	"2014"	"Male"	"M"	247	2349967	10.5
	"Alabama"	"01"	"2015"	"2015"	"Female"	"F"	70	2505795	2.8
	"Alabama"	"01"	"2015"	"2015"	"Male"	"M"	321	2353184	13.6
	"Alaska"	"02"	"1999"	"1999"	"Male"	"M"	21	323513	6.5
	"Alaska"	"02"	"2000"	"2000"	"Male"	"M"	13	324112	Unreliable
	"Alaska"	"02"	"2001"	"2001"	"Male"	"M"	17	328135	Unreliable
	"Alaska"	"02"	"2002"	"2002"	"Female"	"F"	11	309633	Unreliable
	"Alaska"	"02"	"2002"	"2002"	"Male"	"M"	15	332704	Unreliable
	"Alaska"	"02"	"2003"	"2003"	"Male"	"M"	23	335380	6.9
	"Alaska"	"02"	"2004"	"2004"	"Male"	"M"	17	341479	Unreliable
	"Alaska"	"02"	"2005"	"2005"	"Male"	"M"	21	346026	6.1
	"Alaska"	"02"	"2006"	"2006"	"Male"	"M"	25	350181	7.1
	"Alaska"	"02"	"2007"	"2007"	"Male"	"M"	23	353162	6.5
	"Alaska"	"02"	"2008"	"2008"	"Male"	"M"	12	358043	Unreliable
	"Alaska"	"02"	"2009"	"2009"	"Male"	"M"	13	361893	Unreliable
	"Alaska"	"02"	"2010"	"2010"	"Male"	"M"	24	369628	6.5
	"Alaska"	"02"	"2011"	"2011"	"Male"	"M"	14	375192	Unreliable
	"Alaska"	"02"	"2012"	"2012"	"Male"	"M"	15	381238	Unreliable
	"Alaska"	"02"	"2013"	"2013"	"Male"	"M"	14	385568	Unreliable
	"Alaska"	"02"	"2014"	"2014"	"Male"	"M"	13	387296	Unreliable
	"Alaska"	"02"	"2015"	"2015"	"Female"	"F"	10	349407	Unreliable
	"Alaska"	"02"	"2015"	"2015"	"Male"	"M"	32	389025	8.2
	"Arizona"	"04"	"1999"	"1999"	"Female"	"F"	66	2518299	2.6
	"Arizona"	"04"	"1999"	"1999"	"Male"	"M"	237	2505524	9.5
	"Arizona"	"04"	"2000"	"2000"	"Female"	"F"	54	2569575	2.1
	"Arizona"	"04"	"2000"	"2000"	"Male"	"M"	220	2561057	8.6
	"Arizona"	"04"	"2001"	"2001"	"Female"	"F"	52	2641676	2.0
	"Arizona"	"04"	"2001"	"2001"	"Male"	"M"	280	2631801	10.6
	"Arizona"	"04"	"2002"	"2002"	"Female"	"F"	49	2704217	1.8
	"Arizona"	"04"	"2002"	"2002"	"Male"	"M"	306	2692038	11.4
	"Arizona"	"04"	"2003"	"2003"	"Female"	"F"	53	2764077	1.9
	"Arizona"	"04"	"2003"	"2003"	"Male"	"M"	271	2746287	9.9
	"Arizona"	"04"	"2004"	"2004"	"Female"	"F"	46	2835606	1.6
	"Arizona"	"04"	"2004"	"2004"	"Male"	"M"	296	2816798	10.5
	"Arizona"	"04"	"2005"	"2005"	"Female"	"F"	40	2930811	1.4
	"Arizona"	"04"	"2005"	"2005"	"Male"	"M"	337	2908266	11.6
	"Arizona"	"04"	"2006"	"2006"	"Female"	"F"	50	3026134	1.7
	"Arizona"	"04"	"2006"	"2006"	"Male"	"M"	337	3003007	11.2
	"Arizona"	"04"	"2007"	"2007"	"Female"	"F"	50	3096998	1.6
	"Arizona"	"04"	"2007"	"2007"	"Male"	"M"	304	3070683	9.9
	"Arizona"	"04"	"2008"	"2008"	"Female"	"F"	55	3155278	1.7
	"Arizona"	"04"	"2008"	"2008"	"Male"	"M"	278	3125084	8.9
	"Arizona"	"04"	"2009"	"2009"	"Female"	"F"	53	3189908	1.7
	"Arizona"	"04"	"2009"	"2009"	"Male"	"M"	175	3153246	5.5
	"Arizona"	"04"	"2010"	"2010"	"Female"	"F"	45	3216194	1.4
	"Arizona"	"04"	"2010"	"2010"	"Male"	"M"	226	3175823	7.1
	"Arizona"	"04"	"2011"	"2011"	"Female"	"F"	45	3258634	1.4
	"Arizona"	"04"	"2011"	"2011"	"Male"	"M"	214	3223871	6.6
	"Arizona"	"04"	"2012"	"2012"	"Female"	"F"	58	3294772	1.8
	"Arizona"	"04"	"2012"	"2012"	"Male"	"M"	196	3258483	6.0
	"Arizona"	"04"	"2013"	"2013"	"Female"	"F"	46	3331505	1.4
	"Arizona"	"04"	"2013"	"2013"	"Male"	"M"	205	3295119	6.2
	"Arizona"	"04"	"2014"	"2014"	"Female"	"F"	40	3387637	1.2
	"Arizona"	"04"	"2014"	"2014"	"Male"	"M"	172	3343847	5.1
	"Arizona"	"04"	"2015"	"2015"	"Female"	"F"	44	3436575	1.3
	"Arizona"	"04"	"2015"	"2015"	"Male"	"M"	192	3391490	5.7
	"Arkansas"	"05"	"1999"	"1999"	"Female"	"F"	25	1359445	1.8
	"Arkansas"	"05"	"1999"	"1999"	"Male"	"M"	93	1292415	7.2
	"Arkansas"	"05"	"2000"	"2000"	"Female"	"F"	26	1368707	1.9
	"Arkansas"	"05"	"2000"	"2000"	"Male"	"M"	114	1304693	8.7
	"Arkansas"	"05"	"2001"	"2001"	"Female"	"F"	18	1376845	Unreliable
	"Arkansas"	"05"	"2001"	"2001"	"Male"	"M"	92	1314726	7.0
	"Arkansas"	"05"	"2002"	"2002"	"Female"	"F"	29	1383239	2.1
	"Arkansas"	"05"	"2002"	"2002"	"Male"	"M"	117	1322688	8.8
	"Arkansas"	"05"	"2003"	"2003"	"Female"	"F"	21	1391523	1.5
	"Arkansas"	"05"	"2003"	"2003"	"Male"	"M"	102	1333293	7.7
	"Arkansas"	"05"	"2004"	"2004"	"Female"	"F"	26	1403048	1.9
	"Arkansas"	"05"	"2004"	"2004"	"Male"	"M"	115	1346638	8.5
	"Arkansas"	"05"	"2005"	"2005"	"Female"	"F"	33	1418295	2.3
	"Arkansas"	"05"	"2005"	"2005"	"Male"	"M"	121	1362802	8.9
	"Arkansas"	"05"	"2006"	"2006"	"Female"	"F"	27	1438428	1.9
	"Arkansas"	"05"	"2006"	"2006"	"Male"	"M"	128	1383333	9.3
	"Arkansas"	"05"	"2007"	"2007"	"Female"	"F"	27	1451358	1.9
	"Arkansas"	"05"	"2007"	"2007"	"Male"	"M"	126	1397292	9.0
	"Arkansas"	"05"	"2008"	"2008"	"Female"	"F"	23	1464220	1.6
	"Arkansas"	"05"	"2008"	"2008"	"Male"	"M"	122	1410334	8.7
	"Arkansas"	"05"	"2009"	"2009"	"Female"	"F"	21	1475013	1.4
	"Arkansas"	"05"	"2009"	"2009"	"Male"	"M"	136	1421830	9.6
	"Arkansas"	"05"	"2010"	"2010"	"Female"	"F"	27	1484281	1.8
	"Arkansas"	"05"	"2010"	"2010"	"Male"	"M"	105	1431637	7.3
	"Arkansas"	"05"	"2011"	"2011"	"Female"	"F"	26	1495200	1.7
	"Arkansas"	"05"	"2011"	"2011"	"Male"	"M"	119	1442779	8.2
	"Arkansas"	"05"	"2012"	"2012"	"Female"	"F"	31	1500641	2.1
	"Arkansas"	"05"	"2012"	"2012"	"Male"	"M"	135	1448490	9.3
	"Arkansas"	"05"	"2013"	"2013"	"Female"	"F"	24	1505782	1.6
	"Arkansas"	"05"	"2013"	"2013"	"Male"	"M"	128	1453591	8.8
