"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	"15-24 years"	"15-24"	"Female"	"F"	17	316324	Unreliable
	"Alabama"	"01"	"1999"	"1999"	"15-24 years"	"15-24"	"Male"	"M"	77	317647	24.2
	"Alabama"	"01"	"1999"	"1999"	"25-34 years"	"25-34"	"Female"	"F"	19	308250	Unreliable
	"Alabama"	"01"	"1999"	"1999"	"25-34 years"	"25-34"	"Male"	"M"	52	300073	17.3
	"Alabama"	"01"	"1999"	"1999"	"35-44 years"	"35-44"	"Female"	"F"	22	351301	6.3
	"Alabama"	"01"	"1999"	"1999"	"35-44 years"	"35-44"	"Male"	"M"	44	335631	13.1
	"Alabama"	"01"	"1999"	"1999"	"45-54 years"	"45-54"	"Male"	"M"	15	284323	Unreliable
	"Alabama"	"01"	"1999"	"1999"	"55-64 years"	"55-64"	"Male"	"M"	14	194056	Unreliable
	"Alabama"	"01"	"2000"	"2000"	"15-24 years"	"15-24"	"Female"	"F"	15	315225	Unreliable
	"Alabama"	"01"	"2000"	"2000"	"15-24 years"	"15-24"	"Male"	"M"	80	316220	25.3
	"Alabama"	"01"	"2000"	"2000"	"25-34 years"	"25-34"	"Female"	"F"	14	305074	Unreliable
	"Alabama"	"01"	"2000"	"2000"	"25-34 years"	"25-34"	"Male"	"M"	65	297941	21.8
	"Alabama"	"01"	"2000"	"2000"	"35-44 years"	"35-44"	"Female"	"F"	11	350582	Unreliable
	"Alabama"	"01"	"2000"	"2000"	"35-44 years"	"35-44"	"Male"	"M"	48	334930	14.3
	"Alabama"	"01"	"2000"	"2000"	"45-54 years"	"45-54"	"Male"	"M"	29	291764	9.9
	"Alabama"	"01"	"2001"	"2001"	"15-24 years"	"15-24"	"Male"	"M"	78	321522	24.3
	"Alabama"	"01"	"2001"	"2001"	"25-34 years"	"25-34"	"Female"	"F"	19	298199	Unreliable
	"Alabama"	"01"	"2001"	"2001"	"25-34 years"	"25-34"	"Male"	"M"	72	290750	24.8
	"Alabama"	"01"	"2001"	"2001"	"35-44 years"	"35-44"	"Female"	"F"	18	346986	Unreliable
	"Alabama"	"01"	"2001"	"2001"	"35-44 years"	"35-44"	"Male"	"M"	45	331017	13.6
	"Alabama"	"01"	"2001"	"2001"	"45-54 years"	"45-54"	"Male"	"M"	23	303384	7.6
	"Alabama"	"01"	"2001"	"2001"	"55-64 years"	"55-64"	"Male"	"M"	11	201485	Unreliable
	"Alabama"	"01"	"2002"	"2002"	"15-24 years"	"15-24"	"Female"	"F"	13	319841	Unreliable
	"Alabama"	"01"	"2002"	"2002"	"15-24 years"	"15-24"	"Male"	"M"	71	323720	21.9
